"Module","Gene","Connectivity"
"salmon","CD300E",8.29435778683123
"salmon","PLXNB2",8.20302397395623
"salmon","CPVL",8.12274357529283
"salmon","SCIMP",8.02708735332024
"salmon","PEA15",7.96725646193933
"salmon","CD68",7.89665916532365
"salmon","LY86",7.85425113431222
"salmon","MPEG1",7.76564778199726
"salmon","ANXA2",7.5216267821694
"salmon","TGFBI",7.31077326248658
"salmon","ARHGEF10L",7.18625996720389
"salmon","ADAP2",7.16778155423077
"salmon","ADA2",7.15448209599341
"salmon","ST3GAL5",6.72045440156518
"salmon","LILRB1",6.17042954094868
"salmon","ZNF385A",5.79361134297902
"salmon","PLXND1",5.68425913496166
"salmon","LRP1",5.50767635767678
"salmon","FCN1",5.45692741385329
"salmon","CLEC10A",5.26591837987782
"salmon","HNMT",5.26440726635333
"salmon","SLC66A3",5.01505903408516
"purple","MPIG6B",14.6598248234498
"purple","ITGB3",14.0879894783547
"purple","CTTN",13.5847980781225
"purple","GP6",13.4024495684573
"purple","PTGS1",12.7776254586254
"purple","SELP",12.1808376635583
"purple","TREML1",11.8968718144893
"purple","ITGB5",11.878714655189
"purple","ABLIM3",11.8240159550696
"purple","FAXDC2",11.6415020085295
"purple","PCSK6",11.3838350212529
"purple","TUBA8",11.2933479003739
"purple","EHD3",11.2294079859275
"purple","LTBP1",11.2289432795994
"purple","CTDSPL",11.2211284703946
"purple","ALOX12",10.7917512677258
"purple","PRKAR2B",10.7362550756114
"purple","PPBP",10.6611870823712
"purple","ITGA2B",10.5185826321002
"purple","CMTM5",10.5023446233377
"purple","ESAM",10.2368363559202
"purple","TSPAN9",9.87606115535381
"purple","PEAR1",9.87018888144764
"purple","LY6G6F",9.69739518528785
"purple","GUCY1B1",9.59883064429324
"purple","SPARC",9.34060698965766
"purple","RHOBTB1",9.29430050032509
"purple","ELOVL7",8.87800533081432
"purple","EGF",8.70370086508463
"purple","MMRN1",8.44341184504732
