"Gene","Module"
"209083_at","turquoise"
"213710_s_at","turquoise"
"230392_at","brown"
"1557270_at","blue"
"244508_at","blue"
"227438_at","grey"
"240635_at","brown"
"223646_s_at","grey"
"236738_at","turquoise"
"241868_at","grey"
"210012_s_at","turquoise"
"229372_at","grey"
"235955_at","blue"
"238774_at","blue"
"218681_s_at","grey"
"241457_at","blue"
"221772_s_at","turquoise"
"229108_at","turquoise"
"240068_at","grey"
"1561368_at","grey"
"229266_at","grey"
"207016_s_at","grey"
"200883_at","turquoise"
"220494_s_at","turquoise"
"234258_at","blue"
"242197_x_at","grey"
"219666_at","grey"
"237584_at","turquoise"
"221872_at","turquoise"
"220850_at","grey"
"240845_at","grey"
"239509_at","grey"
"217967_s_at","blue"
"244346_at","brown"
"203030_s_at","turquoise"
"223156_at","turquoise"
"236694_at","grey"
"230319_at","grey"
"244769_at","grey"
"234942_s_at","turquoise"
"208621_s_at","blue"
"229289_at","turquoise"
"1559593_a_at","blue"
"242854_x_at","grey"
"219875_s_at","grey"
"206201_s_at","grey"
"220254_at","turquoise"
"207853_s_at","turquoise"
"202719_s_at","blue"
"229095_s_at","brown"
"213983_s_at","turquoise"
"1563927_a_at","grey"
"214531_s_at","turquoise"
"209613_s_at","grey"
"243506_at","turquoise"
"206392_s_at","turquoise"
"228778_at","turquoise"
"232279_at","blue"
"244350_at","blue"
"230781_at","grey"
"233728_at","brown"
"214295_at","blue"
"224650_at","turquoise"
"223216_x_at","blue"
"202310_s_at","blue"
"203813_s_at","turquoise"
"243605_at","grey"
"240799_at","grey"
"206935_at","turquoise"
"209529_at","grey"
"1552803_a_at","turquoise"
"204922_at","turquoise"
"215076_s_at","grey"
"1563169_at","grey"
"226847_at","grey"
"235315_at","turquoise"
"1555318_at","blue"
"205391_x_at","turquoise"
"215847_at","blue"
"237101_at","grey"
"1561687_a_at","turquoise"
"232752_at","grey"
"1557181_s_at","turquoise"
"1563658_a_at","turquoise"
"1560010_a_at","turquoise"
"244261_at","grey"
"1558586_at","grey"
"223122_s_at","grey"
"240503_at","brown"
"201641_at","blue"
"219740_at","grey"
"237539_at","grey"
"225149_at","turquoise"
"215870_s_at","blue"
"1555365_x_at","grey"
"239202_at","grey"
"241814_at","grey"
"1561158_at","blue"
"215441_at","grey"
"223743_s_at","turquoise"
"211666_x_at","turquoise"
"240498_at","blue"
"221428_s_at","turquoise"
"233044_at","blue"
"243275_at","blue"
"208065_at","turquoise"
"219607_s_at","grey"
"203571_s_at","blue"
"204236_at","blue"
"205279_s_at","turquoise"
"1563331_at","grey"
"1554473_at","blue"
"232275_s_at","grey"
"1567107_s_at","brown"
"201123_s_at","turquoise"
"219531_at","turquoise"
"209353_s_at","grey"
"220763_at","blue"
"233994_at","blue"
"1557891_s_at","blue"
"232309_at","brown"
"203000_at","turquoise"
"226830_x_at","grey"
"206175_x_at","turquoise"
"205940_at","grey"
"203720_s_at","turquoise"
"213158_at","blue"
"220397_at","grey"
"1563076_x_at","blue"
"205429_s_at","turquoise"
"221841_s_at","blue"
"211370_s_at","turquoise"
"214808_at","blue"
"1560739_a_at","grey"
"204240_s_at","turquoise"
"217518_at","blue"
"241593_x_at","brown"
"204875_s_at","turquoise"
"205761_s_at","turquoise"
"205288_at","brown"
"236389_x_at","grey"
"1566324_a_at","grey"
"1560750_at","grey"
"226636_at","grey"
"243431_at","blue"
"233882_s_at","turquoise"
"234632_x_at","grey"
"201939_at","turquoise"
"219979_s_at","turquoise"
"244665_at","brown"
"1553177_at","grey"
"234638_at","blue"
